sairajhdkjhs,sairaj@gmail.com,"Hitech city",2024-11-27,12:02,Basic,Anniversary,no
sairajhdkjhs,sairaj@gmail.com,"Hitech city",2024-11-27,12:02,Basic,Anniversary,no
sairajhdkjhs,sairaj@gmail.com,"Hitech city",2024-11-27,12:02,Basic,Anniversary,no
sairajhdkjhs,sairaj@gmail.com,"Hitech city",2024-11-27,12:02,Basic,Anniversary,no
sreeja,sreeja@gmail.com,Miyapur,2024-11-27,01:10,Basic,Anniversary,no
raju,nnnn@gmail.com,Nallakunta,1532-12-12,05:23,Basic,"Team lunch","i want black theme"
shreya,shreya@gmail.com,"Hitech city",2020-11-14,04:23,Basic,party,"retro theme"
shreya,shreya@gmail.com,"Hitech city",2020-11-14,04:23,Basic,party,
shreya,shreya@gmail.com,"Hitech city",2020-11-14,04:23,Basic,party,
aisdjai,aisdjai@gmail.com,"Hitech city",2024-11-15,09:07,Basic,Anniversary,
sai,sairaj@gmail.com,"Hitech city",2024-11-14,10:00,Basic,Anniversary,no
Sravya,sairaj@gmail.com,"Hitech city",2024-11-15,18:00,ultraa,Birthday,"I want simple decoration for birthday and a screening "
sairaj,sairajnavadeepraj@gmail.com,"Hitech city",2024-11-30,01:19,Basic,party,noo
sairajhdkjhs,sairajnavadeepraj@gmail.com,"Hitech city",2024-11-22,12:02,Basic,"private theatre",NOO

Sravya,raja@gmail.com,"Hitech city",2024-11-14,20:00,Basic,"Team lunch",no
Sravya,gsudhasravya@gmail.cpom,"Hitech city",2024-11-13,18:00,prime,Birthday,"Few decorations "
